# Sidewinder course roadmap — planned titles by track.
# Format: track | domain | title. Hundreds to thousands; the batch growth
# pipeline (levi sidewinder grow / stubs) turns these into corpus entries.
# Titles already built in the corpus are listed first in each section.

# == BUILD == (make it from scratch)
build | foundations | How mechanical advantage works: levers, wedges, and inclined planes
build | foundations | Materials: what wood, metal, and plastic do under load
build | foundations | Fasteners and joining: how threads, friction, and glue hold things
build | foundations | Measure twice: layout, marking, and working to tolerance
build | foundations | Cutting and shaping: saws, blades, and abrasives
build | foundations | Safety doctrine: eyes, lungs, hands, and stored energy
build | foundations | How water moves: pressure, flow, and seals
build | foundations | How electricity behaves: circuits, load, and why breakers trip
build | home | Build a sturdy shelf from scrap lumber
build | home | Build a pair of sawhorses from 2x4s
build | outdoor | Taut-line hitch for adjustable shelter lines
build | home | Build a workbench from 2x4s and plywood
build | home | Build a raised garden bed
build | home | Build a compost bin from pallets
build | home | Build a bookshelf with adjustable shelves
build | home | Build a closet organizer system
build | home | Build a mudroom bench with cubbies
build | home | Build a dog house
build | home | Build a chicken coop
build | home | Build a cold frame for seedlings
build | home | Build a garden trellis
build | home | Build a fence gate
build | home | Build deck steps
build | home | Build a wheelchair ramp to code slope
build | home | Build a sandbox with cover
build | home | Build a swing-set A-frame
build | home | Build a pergola
build | home | Build a shed foundation from skids
build | home | Build a firewood rack
build | home | Build a bike rack
build | home | Build a pegboard tool wall
build | home | Build a lumber rack
build | home | Build under-stair storage drawers
build | home | Build a window seat with storage
build | home | Build a platform bed frame
build | home | Build a nightstand
build | home | Build a coffee table
build | home | Build a dining bench
build | home | Build a coat rack
build | home | Build a spice rack
build | home | Build a cutting board from hardwood
build | home | Build a picture frame with mitered corners
build | home | Build a mirror frame
build | home | Build a headboard
build | home | Build a room divider screen
build | home | Build a toy box with safety hinges
build | home | Build a blanket chest
build | home | Build a shoe rack
build | home | Build pantry shelving
build | home | Build a laundry sorter cabinet
build | home | Build a pet feeding station
build | home | Build a potting bench
build | home | Build a rain barrel stand
build | home | Build a compost sifter
build | home | Build a seed-starting rack with lights
build | home | Build a greenhouse from old windows
